job_title,job_details,job_keyword_true,LLM_answer,Accuracy
sales consultant (construction related),"we are seeking a confident, proactive and motivated sales consultant/ relationship manager to join our energetic & growing team on an exciting journey of growth in singapore. key responsibilities : generating leads. discover customer's needs and offer solutions through companies services and product portfolio. implementing product specifications. maintaining client & project records. meeting or exceeding sales goals. negotiating solutions and prices with prospective clients. understanding competitor__ presence in the market. preparation and execution of sales related administration. job requirements: preferred bachelor__ degree in business, marketing, economics, or related field. min. 1-3 years experience in sales ideally in construction industry or with civil engineering knowledge. excellent written and verbal communication skills including professional presentations to clients. superb interpersonal skills, including the ability to build strong relations with both customers and the team/ fanatic networker. a commitment to excellent customer service. preferred ability of reading architectural drawings/ dwg. competency in microsoft applications. benefits: attractive basic + bonus package 5 day working week friendly work environment career growth development interested applicants may send their resume/cv by clicking the apply now button.",retail,blue-collar worker,False
"sr/executive, clinical & health informatics office","job description: challenges your key responsibilities include the following: to support the development of health informatics strategy roadmap and supporting health informatics projects and committees. support the operationalization of policies, guidelines and frameworks which governs the development and implementation of clinical and health it systems supporting patient care like electronic medical record (emr) to support the health informatics strategy roadmap. support the tactical implementation of strategic initiatives by executing work plans to ensure that chio meets its strategic goals and objectives. knowledge and content management of project files and documentation, meeting minutes, discussions and key decisions in support of clinical and health informatics, and to ensure ease of future reference. support the execution of hospital health informatics training and development plans to support both clinical and non-clinical staff who wish to pursue a career in informatics and to support the hospital__ health informatics strategy roadmap. support the collaboration with other hospital divisions to further advance the use of clinical and health informatics. assist the manager / assistant manager of chio in the day-to-day administration. secretariat to key meetings and project committees in support clinical and health informatics. any other duties directed by chairman, medical board, acmbs, ccio, accios, director (chio), manager/ assistant manager. collaborate with other hospital divisions to further advance the use of clinical and health informatics. requirements healthcare professionals, healthcare operations, management personnel, healthcare policy analysts who takes an interest in informatics to enable, support and improve healthcare. at least a tertiary degree from a recognized university. preferably 3-5 years of relevant working experience, preferably in a healthcare setting, and preferably with clinical or healthcare informatics experience. proficient in microsoft office like outlook, excel, word and powerpoint a must. project management and health informatics certifications is a plus. strong verbal and written communication skills. excellent organizational and people management. strong analytical skills to manage complex issues and with the ability to collect, organize, analyze and process information with attention to detail and accuracy. ability to initiate, deliver and drive to complete projects with minimal supervision. ability to work effectively individually and as part of a collaborative team.",office worker,medical,False
"senior officer, reconciliation, retail investment operations center","about uob united overseas bank limited (uob) is a leading bank in asia with a global network of more than 500 branches and offices in 19 countries and territories in asia pacific, europe and north america. in asia, we operate through our head office in singapore and banking subsidiaries in china, indonesia, malaysia and thailand, as well as branches and offices.our history spans more than 80 years. over this time, we have been guided by our values _ honorable, enterprising, united and committed. this means we always strive to do what is right, build for the future, work as one team and pursue long-term success. it is how we work, consistently, be it towards the company, our colleagues or our customers. about the department group technology and operations (gto) provides software and system development, information technology support services and banking operations.we have centralized and standardized the technology components into singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. we operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.our operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing. job responsibilities 1. custody reconciliation: perform daily, monthly and quarterly custody reconciliation for cpfis/srs accounts identify causes of discrepancies and follow-up with various processing teams perform investigations of breaks/differences identified and do necessary follow-ups ensure completeness and accuracy in reconciliation ensure custody reports are submitted within pre-defined timelines ensure adherence and compliance to regulatory and internal control requirements timely escalation of breaks to department and division head and to work towards resolution 2. mis: collate mis reports for the division ensure completeness and accuracy in the mis reports submit daily and monthly mis reports on a timely basis work closely with internal and external stakeholders to review processes and identify opportunity to streamline the operational workflow and improve overall efficiency collaborate closely with various functions to review queries, complaints, operational problems to ensure they are resolved promptly and satisfactorily support business plans and ad-hoc duties assigned by the head of department job requirements at least 1-3 years of experience, preferably in custody reconciliation and/or general banking operations high proficiency in microsoft office applications with emphasis on excel as well ability too create macros knowledge in investment products (e.g., equity, fixed income, unit trust) will be an advantage able to work independently and in a team quick learner and able to multi-task organized and systematic able to work under pressure, good analytic skills and good time consciousness good interpersonal and communication skills (written and verbal) details-oriented and meticulous be a part of uob family uob is an equal opportunity employer. uob does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. all employment decisions at uob are based on business needs, job requirements and qualifications. if you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application. apply now and make a difference. competencies 1. strategise2. engage3. execute4. develop5. skills6. experience",office worker,accounting,False
data science analyst (ai & emerging tech),"position overview synapxe (formerly known as ihis) will be participating in jobstreet by seek career fair on 19 and 20 aug at mbs level 1 hall b. our booth will be at p3. come and have a chat with us over there! data science analyst role supporting healthcare analytics workstreams we are expanding our strong data science team and are looking for talented ai practitioner with applied experience in the fields of machine learning and deep learning to join us. this role is best suited for candidate that is interested in developing new ai application that has a direct and immense, real-world healthcare impact. you need to have a deep passion for analyzing and resolving healthcare problems. you display an intellectual curiosity about the business needs as well as the capability to engage with stakeholders to understand business issues. role & responsibilities analyze data, scope out problem definition and hypothesis for analysis for image/signal data (such as eeg, ecg) related use case responsible for image analysis, synthesis and other aspects of algorithm development, including visual recognition, object detection, segmentation and signal data pattern recognition etc. responsible for the exploration of cutting-edge technology in image/signal data related algorithms and ensure the technologies get successfully applied. design experiments to test data assumptions evaluate experiment outcomes to draw actionable conclusions deploy data models across different channels and customer platforms partner with stakeholders to translate business problems into data science projects develop strategies to identify, acquire and use appropriate data sets to develop practical solutions and support decision making maintain an advanced knowledge of trends affecting the industry synthesize findings into actionable insights apply data analysis, data mining and data processing to present data clearly provide rationale, business cases and roi models to support investment requirements phd or masters in a quantitative field such as mathematics, statistics, information technology, physics, engineering, finance or equivalent solid research and engineering background and experience in computer vision, deep learning, and image/signal data processing/analysis algorithms. good experience with python or r is prerequisite good experience with deep learning framework e.g. tensorflow, keras, pytorch is prerequisite hands on experience in the development of image classification, object detection, segmentation, signal data pattern recognition or related is preferred. good experience with sql and/or nosql is preferred preferably, 3 years of relevant working experience. proven communication skill to explain insights from technical work to non-technical audience through presentation or other means ability to work independently. model deployment experience is preferred.",analyst,analyst,True
general cleaner (tai seng) part time,"working days: wednesday to sunday working hours: 5.30pm - 8.30pm key responsibilities: dusting and wiping furniture and fixtures. vacuuming and mopping floors. cleaning and sanitizing restrooms. emptying trash and recycling bins. washing windows and mirrors. cleaning and disinfecting common areas. assisting with other cleaning tasks as assigned. maintaining the cleanliness and organization of cleaning supplies and equipment. adhering to all safety and health regulations. required skills & experience: experience in commercial or residential cleaning preferred. ability to work independently and as part of a team. strong work ethic and attention to detail. ability to lift and carry moderate weights. ability to work in a fast-paced environment. how to apply: if you are interested in joining our clean team, please submit your resume at or whatsapp us at +65 8690 1810 no agents please. at one heart, we value diversity and strive to create an inclusive workplace for all.",blue-collar worker,blue-collar worker,True
"vp/svp, it infrastructure & system security (sre/api/payments)","min. 12 years of it infrastructure & system security management experience, preferably prior experience in site reliability engineering, api gateways for cross-border payments production support & & monitoring. in depth knowledge of sre tools and/or cloud services, in particular aws and azure clouds in depth knowledge of cloud services, in particular aws and azure clouds. job summary: we are seeking a highly skilled and experienced vp/svp of digital asset technology operations to lead our it infrastructure and security team. the ideal candidate will be responsible for overseeing the it infrastructure & security, which include site reliability engineering, api gateways for cross-border payments production support & & monitoring, production releases and optimization of our technology infrastructure, ensuring the highest levels of availability, performance, and security. you will be working closely with our chief operating officer in accordance to the requirements of business needs, technology platforms, information security, regulatory, and compliance. together with the team, you will be working with internal and external stakeholders on infrastructure platforms, identity & access management team, including assignments that may consist of parts of a single technical area, application, software, or technical methodology within the infrastructure engineering discipline. key responsibilities: - infrastructure management: oversee the design, implementation, and maintenance of the company__ technology infrastructure, including servers, networks, storage systems, hsm and cloud services. ensure the infrastructure is scalable, reliable, and secure to meet current and future business needs by conducting capacity planning in cooperation with the business lines and development teams. manage external vendors, including monitoring of the sla. maintain a tight control on costs. oversee day-to-day it operations, ensuring efficient and effective service delivery. monitor production and provide support to ensure timely resolution of incidents and problems, liaising with the relevant it software support and development teams to resolve incidents. handle the crisis management process if needed. develop and enforce policies and procedures for incident management, problem management, and change management. monitor system performance and implement proactive measures to prevent issues. be the main person in charge for it audits and regulatory inspections. - risk & control management: assess the effectiveness of controls, determine the impact of control issues, identify corrective action, and track issues to closure. perform risk assessments, regulatory and compliance assessments for services and processes. partnering with internal and external parties to manage technology and infra related risks and compliance to regulatory requirements. - compliance & security: ensure compliance with industry standards, regulatory requirements, and internal policies. implement and maintain robust security measures to protect the company__ data and systems. - foster a culture of continuous improvement and operational excellence. - manage of team of it professionals in singapore. qualifications: degree in computer science, information technology, or a related field. minimum of 12 years of experience in it infrastructure management, preferably within financial services or fintech environment. prior experience in site reliability engineering, api gateways for cross-border payments production support & & monitoring, incident management, troubleshooting issues, etc. in depth knowledge of sre tools and cloud services, in particular aws and azure clouds. familiar with information security, audit and risk management functions. strong problem-solving and analytical abilities. excellent communication and interpersonal skills. fluency in english and chinese in both languages as one needs to manage our english and chinese-speaking clients and stakeholders. experience in the financial industry and knowledge of singapore__ regulatory requirements. knowledge of crypto and related infrastructure are a plus.",engineer,manager,False
administrative executive,"on behalf of the hiring company, we are looking for suitable personnel to join them as an administrative executive responsibilities prepare schedule letters quotations for customers and follow up coordinate with internal and external stakeholders to ensure work success. input and maintain data in systems handle incoming and outgoing correspondence, including emails, phone calls, and mail. organize and file documents according to established procedures. any other duties assigned from time to time requirements diploma in business or related discipline minimum 1 year of relevant experience comfortable in communicating with clients able to work well independently and in a team comfortable working in an engineering environment well-versed with word, excel, and process systems attention to detail and accuracy. work location: east (short working distance to mrt) ea license: 22c0971 | r21101298",office worker,office worker,True
software engineer,"job description st engineering geo-insights pte ltd is a data analytics company focused on generating insights from geospatial data and remotely sensed data. we are looking for potential team members who are keen and passionate about implementing technological solutions to solve real-world problems. besides the joy of seeing your work delivering value to global technological advancement, there are opportunities to publish research on top research platforms. you can look forward to a growth-oriented career in a supportive and fast-paced environment. job responsibilities the software engineer role covers a wide range of design, development, and testing activities for geo-insights_ cloud-based imagery delivery and analytics platform for our consumers. we work collaboratively with other teams to launch new features and scale our infrastructure to ensure the platform runs optimally for the needs of our customers. design and maintain the overall architecture of the cloud platform in aws troubleshoot and resolve issues within the software delivery pipeline stages design and develop new platform features ui/ux in a disciplined and sustainable way implement high-quality and maintainable production code using relevant design patterns job requirements: masters / degree in computer science or equivalent at least 5 years of relevant work experience in software development proficient in nodejs, python, typescript programming proficient in frontend frameworks _ e.g. react, angular, bootstrap, etc. proficient in developing backend services using restful apis familiarity with any rdbms or non-sql db _ e.g. mysql, postgressql, mongodb experience with aws cloud deployment and git motivated and proactive, able to work as a team, and results oriented location: ang mo kio singaporean only",engineer,engineer,True
executive (sales / social media),"key responsibilities to enhance sales traffic and brand awareness. to reach out to potential corporate clients in order to generate new corporate event accounts and secure partnerships. to extend collaboration opportunities with existing corporate clients. to attend corporate classes / event enquiries and requests and related admin work. to coordinate and manage corporate / community events, roadshows, and marketing campaigns. to invoice clients. to manage assignment of instructors for events. to maintain instructors' records on sharepoint. to support the preparation of monthly instructor__ payroll and profit-sharing reports. to create, manage, and optimise social media ad campaigns to achieve sales / brand awareness. to design and run brand development initiatives such as: - seeking venue sponsors to organise community workouts. - having more corporate events. - getting sponsorships for the brand. accountability reports to head (business development & operations) competency requirements core competencies communication: excellent interpersonal and communication skills for effective communication with residents, team, community partners, and stakeholders. leadership: excellent team player with strong leadership and responsibility skills. customer orientation: commit to exceeding both internal and external clients_ needs. proactively identify clients_ needs and sustain a culture of service excellence within the organisation. adaptability: strong team player who is resourceful, adaptable, and able to perform multitasks under a given timeline. good organisational and project management skills. self-motivated individual with the ability to work independently. technical competencies proficiency in it systems and microsoft office suite (e.g., microsoft word, excel, powerpoint, etc.). education and experience: minimum degree or diploma in relevant disciplines at least 2 years of relevant working experience in similar sectors the intent of this job description is to provide a representative summary of the major duties and responsibilities of the position. you may be required to perform job-related tasks other than those specifically presented in this description. this job description does not constitute a contract of employment.",marketing,marketing,True
business operations (admin/accounts) executive and/or intern,"contract, flexi-work hours, internship/attachment job description as a business operations executive and/or intern, you will learn to play a vital role in supporting our key executives to ensure a smooth operations of our business. key responsibilities liaising with suppliers (procurement and shipment) stock management data entry filing documents. assist in day-to-day operation administrative tasks. any other task as assigned. requirements minimum gce ___ and ___ level or ite certificate (book keeping) ideally have at least 2 years of relevant working experience proficient in microsoft word and excel good time management and planning attention to detail. ability to communicate in mandarin is an added advantage good oral and written communication and interpersonal skills. proactive, eager to learn, and able to work independently as well as in a team only shortlisted candidates wil be contacted",office worker,office worker,True
research fellow - [2d integrated si photonics] #worknow,"a research fellow position is available in the school of electrical & electronic engineering, nanyang technological university, singapore. we are seeking a highly talented candidate who are highly motivated with a project to conduct the research on integrating optical functions of atomically thin two-dimensional (2d) materials into silicon (si) photonics for information processing and beyond, exploring their application as a new class of optoelectronic devices. job responsibilities design, fabrication, and characterization of si-based photonic devices development new class of photonic devices by integrating 2d materials and vdw heterostructures phase change materials (pcm), electro-optic (eo) materials integration for the hybrid photonics installation of si photonics characterization setup and oversee the progress of the project job requirements phd in relevant area (electrical engineering, materials science, and physics) research background in solid state physics, applied physics, semiconductor materials, nanomaterials is preferred research experience in photonics characterization, such as e-o modulation, optical resonator prior cleanroom fabrication and device experience independent and can work well with a teamwe regret that only shortlisted candidates will be notified.",researcher,researcher,True
"ews engineering engineer m/f - 2021-17467, #jobsthatmatter #worknow...","job description be responsible for new product transfer & integration, ensuring smooth production ramp up, with test stability, high yield and throughput perform product analysis to improve productivity, yield and quality conduct evaluation and provide solutions for test related problems provide engineering support such as temperature characterization, test time reduction, continuous yield/quality improvement, cost saving/reduction, etc carry out analysis and dispose non-conforming lots prepare statistical data analysis & reports (pareto, detractors etc.) liaise and work closely with division, ews manufacturing team & device team (internal & external) provide on-site management sustaining support profile degree in electrical & electronics engineering with at least 3 years_ of working experience relevant experience in electrical wafer sorting (ews) testing environment is added advantage knowledge of probing process, probe card, ic test methodology & programming (such c++, visual basic) preferred possess strong quantitative, analytical and communication skills must be a team player with initiative and self-motivation, with a keen sense of responsibility and urgency",engineer,engineer,True
chinese enrichment teacher (various location),"great career exposure near to mrt good remuneration package as a chinese enrichment teacher, you will be responsible for the following duties: conduct chinese enrichment lesson according to the teaching plan provided keep accurate records of students_ progress, develop and complete the assessment and evaluation reports of students termly communicate with parents on students_ progress requirements: minimum degree in chinese studies or equivalent possess relevant working experience in teaching to apply, simply click on the ___pply__ button in the job advertisement or alternatively, you can send in your resume via email. email address: we regret to inform that only shortlisted candidates will be notified. allied search pte. ltd. ea license : 19c9777",education,education,True
